Time,Position_Nominal,Velocity_Nominal,Position_Without_Admittance,Velocity_Without_Admittance,Position_With_Admittance,Velocity_With_Admittance,Control_Without_Admittance,Control_With_Admittance,Forces_Applied,Position_VariableForce,Velocity_VariableForce,Control_VariableForce,Variable_Force
10,     1.29605    -0.100733    0.0647832  0.000152209 -3.54866e-05   -0.0066477    -0.353961    -0.593859     0.366835      1.77967    -0.112296     -2.52498      3.60113, 0.00430277  -0.0042982  0.00220213  0.00352873  0.00494055 0.000117902    0.127444  -0.0938856  0.00359065  -0.0587513    -0.41016    -4.09064     11.8198,     1.29605    -0.100733    0.0647832  0.000152209 -3.54866e-05   -0.0066477    -0.353961    -0.593859     0.366835      1.77967    -0.112296     -2.52498      3.60113, 0.00430277  -0.0042982  0.00220213  0.00352873  0.00494055 0.000117902    0.127444  -0.0938856  0.00359065  -0.0587513    -0.41016    -4.09064     11.8198,     1.29605    -0.100733    0.0647832  0.000152209 -3.54866e-05   -0.0066477    -0.353961    -0.593859     0.366835      1.77967    -0.112296     -2.52498      3.60113, 0.00430277  -0.0042982  0.00220213  0.00352873  0.00494055 0.000117902    0.127444  -0.0938856  0.00359065  -0.0587513    -0.41016    -4.09064     11.8198,  -0.397008    0.838985   -0.332312    0.391647  -0.0355179   0.0273874 0.000422252           0           0           0           0,  -0.397008    0.838985   -0.332312    0.391647  -0.0355179   0.0273874 0.000422252           0           0           0           0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.47573 -0.135162  0.791021   0.59909  0.635884  0.321842 -0.354058 -0.593906  0.368445   1.77936 -0.108988  -2.57348   3.68991,    1.0647  -0.382198    5.19305    1.36454     2.0342 0.00871061   0.127167 -0.0943109 0.00741651 -0.0567308   -0.39882    -4.2065    12.0922,  -0.397008    0.838985   -0.332312    0.391647  -0.0355179   0.0273874 0.000422252           0           0           0           0,5.87785
11,    1.29607   -0.100749   0.0647859 3.68567e-05 4.65707e-06 -0.00664752    -0.34748   -0.597865    0.365688     1.77855    -0.12941    -2.72333     4.19927,-1.07853e-06  4.45538e-05 -9.23326e-05   -0.0011923   -0.0001251 -3.15578e-08     0.131511   -0.0686057   -0.0452414   0.00854424    -0.283842     -3.86042      12.0672,    1.29627   -0.100948    0.140114 0.000328646  0.00021154 -0.00664176    -0.34748   -0.597865    0.365688     1.77855    -0.12941    -2.72333     4.19927, 0.00430277  -0.0042982     2.73751  0.00352872  0.00494056 0.000117372    0.131511  -0.0686057  -0.0452414  0.00854424   -0.283842    -3.86042     12.0672,    1.29627   -0.100948    0.111282 0.000328646  0.00021154 -0.00664176    -0.34748   -0.597865    0.365688     1.77855    -0.12941    -2.72333     4.19927, 0.00430277  -0.0042982     1.68907  0.00352872  0.00494056 0.000117372    0.131511  -0.0686057  -0.0452414  0.00854424   -0.283842    -3.86042     12.0672, -0.379876   0.804218  -0.322581   0.362055 -0.0305756   0.020796  0.0123384          0          0          0          0, -0.379876   0.804218  -0.322581   0.362055 -0.0305756   0.020796  0.0123384          0          0          0          0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.52897 -0.154272   1.08933  0.716142  0.717565  0.399638 -0.347589 -0.597927  0.367475   1.77838 -0.125484  -2.77735   4.30134,    1.0647  -0.382198    6.59863    1.36619    2.03247 -0.0755983   0.131319 -0.0687708 -0.0419491  0.0120325  -0.270447    -3.9669    12.3274, -0.379876   0.804218  -0.322581   0.362055 -0.0305756   0.020796  0.0123384          0          0          0          0,6.37424
12,    1.29607   -0.100748   0.0647836 8.26994e-06 1.08907e-06 -0.00664752   -0.340752   -0.600526     0.36191     1.78049   -0.140921    -2.91013     4.76242,-1.33543e-06  1.07417e-05 -2.17707e-05 -0.000266436 -3.50027e-05  9.95633e-11     0.134972   -0.0379495    -0.110742    0.0122027    -0.425975     -3.58286       2.9405,    1.29648   -0.101163     0.44092 0.000505083 0.000458566  -0.0066358   -0.340752   -0.600526     0.36191     1.78049   -0.140921    -2.91013     4.76242, 0.00430277  -0.0042982     8.69862   0.0035287  0.00494058 0.000116843    0.134972  -0.0379495   -0.110742   0.0122027   -0.425975    -3.58286      2.9405,    1.29648   -0.101163    0.206557 0.000505083 0.000458566  -0.0066358   -0.340752   -0.600526     0.36191     1.78049   -0.140921    -2.91013     4.76242, 0.00430277  -0.0042982     2.08256   0.0035287  0.00494058 0.000116843    0.134972  -0.0379495   -0.110742   0.0122027   -0.425975    -3.58286      2.9405,  -0.36462   0.816898  -0.345373   0.333531 -0.0269088    0.51581 -0.0730342          0          0          0          0,  -0.36462   0.816898  -0.345373   0.333531 -0.0269088    0.51581 -0.0730342          0          0          0          0, 0  0 10  0  0  0  0  0  0  0  0  0  0,   1.5822 -0.173382   1.46232  0.848001  0.793917  0.491935 -0.340887 -0.600562  0.363743   1.77997 -0.138846  -2.96854   4.79972,     1.0647   -0.382198     8.16433      1.3726     2.02571   -0.159975    0.134297  -0.0366904   -0.112639 -0.00822917   -0.527342    -3.63185  0.00667498,  -0.36462   0.816898  -0.345373   0.333531 -0.0269088    0.51581 -0.0730342          0          0          0          0,6.84547
13,    1.29607   -0.100748   0.0647831 1.85717e-06 2.44859e-07 -0.00664752   -0.334095   -0.602166    0.353786     1.78087   -0.197149    -2.97036     4.56537,-3.01648e-07  2.41291e-06 -4.88663e-06 -5.98342e-05  -7.8846e-06  6.12272e-12     0.132273   -0.0278628    -0.203266   0.00982996     -1.67069     0.734954     -8.56791,     1.2967   -0.101378     1.12849 0.000681521 0.000705592 -0.00662983   -0.334095   -0.602166    0.353786     1.78087   -0.197149    -2.97036     4.56537, 0.00430277  -0.0042982     17.8855  0.00352869   0.0049406 0.000116313    0.132273  -0.0278628   -0.203266  0.00982996    -1.67069    0.734954    -8.56791,     1.2967   -0.101378    0.226226 0.000681521 0.000705592 -0.00662983   -0.334095   -0.602166    0.353786     1.78087   -0.197149    -2.97036     4.56537, 0.00430277  -0.0042982   -0.988664  0.00352869   0.0049406 0.000116313    0.132273  -0.0278628   -0.203266  0.00982996    -1.67069    0.734954    -8.56791, -0.350879   0.804767  -0.324005   0.292642 -0.0407231   0.403816 -0.0471478          0          0          0          0, -0.350879   0.804767  -0.324005   0.292642 -0.0407231   0.403816 -0.0471478          0          0          0          0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.63544 -0.192491   1.91777  0.998033  0.863177  0.601856 -0.334394 -0.602503  0.355327    1.7799 -0.220117   -2.9497   4.49373,    1.0647  -0.382198    9.88205    1.38372    2.01385    -0.2445   0.128493 -0.0347802  -0.209507 0.00159295   -2.24028    2.57396   -10.7642, -0.350879   0.804767  -0.324005   0.292642 -0.0407231   0.403816 -0.0471478          0          0          0          0,7.28969
14,    1.29607   -0.100748    0.064783  4.1705e-07  5.5026e-08 -0.00664752   -0.327496   -0.603182    0.341496     1.78151    -0.30655    -2.84138     3.96429,-6.77938e-08  5.41855e-07 -1.09613e-06 -1.34367e-05 -1.77193e-06   3.0957e-13     0.130723   -0.0159861    -0.278888    0.0183937     -2.59767      4.07032     -14.6984,    1.29691   -0.101593     2.36412  0.00085796 0.000952618 -0.00662383   -0.327496   -0.603182    0.341496     1.78151    -0.30655    -2.84138     3.96429, 0.00430277  -0.0042982     30.2983  0.00352867  0.00494062 0.000115784    0.130723  -0.0159861   -0.278888   0.0183937    -2.59767     4.07032    -14.6984,    1.29691   -0.101593    0.124554  0.00085796 0.000952618 -0.00662383   -0.327496   -0.603182    0.341496     1.78151    -0.30655    -2.84138     3.96429, 0.00430277  -0.0042982    -2.88827  0.00352867  0.00494062 0.000115784    0.130723  -0.0159861   -0.278888   0.0183937    -2.59767     4.07032    -14.6984, -0.334956   0.726248  -0.346514   0.301613 -0.0069049   0.354651  -0.189615          0          0          0          0, -0.334956   0.726248  -0.346514   0.301613 -0.0069049   0.354651  -0.189615          0          0          0          0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.68867 -0.211601   2.46305   1.16939  0.923078  0.732316 -0.328053 -0.603985  0.342819   1.78033 -0.356957  -2.72991   3.78887,    1.0647  -0.382198    11.7431    1.39948    1.99676  -0.329235     0.1239 -0.0283798  -0.280923  0.0192841   -3.11757    5.85651   -16.6466, -0.334956   0.726248  -0.346514   0.301613 -0.0069049   0.354651  -0.189615          0          0          0          0,7.70513
15,    1.29607   -0.100748   0.0647829 1.46595e-07 1.93517e-08 -0.00664752     -0.3213   -0.604231    0.326456     1.78069    -0.47079     -2.5732     2.54018,-1.81076e-08  1.44597e-07  -2.4587e-07  -3.6083e-06  -4.7625e-07  2.19209e-14     0.116603   -0.0309864    -0.304408   -0.0342212     -3.81914      6.37247     -39.7593,    1.29713   -0.101808     4.30909   0.0010344  0.00119964 -0.00661783     -0.3213   -0.604231    0.326456     1.78069    -0.47079     -2.5732     2.54018, 0.00430277  -0.0042982     45.9368  0.00352865  0.00494064 0.000115254    0.116603  -0.0309864   -0.304408  -0.0342212    -3.81914     6.37247    -39.7593,    1.29713   -0.101808   0.0894737   0.0010344  0.00119964 -0.00661783     -0.3213   -0.604231    0.326456     1.78069    -0.47079     -2.5732     2.54018, 0.00430277  -0.0042982      1.0875  0.00352865  0.00494064 0.000115254    0.116603  -0.0309864   -0.304408  -0.0342212    -3.81914     6.37247    -39.7593,-0.321902  0.700213 -0.297982  0.288795  0.028916  0.201755 -0.158109         0         0         0         0,-0.321902  0.700213 -0.297982  0.288795  0.028916  0.201755 -0.158109         0         0         0         0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.74191 -0.230711   3.10507   1.36385  0.970871  0.884854 -0.322354 -0.605968  0.328233   1.78045 -0.542521  -2.37727    2.2739,    1.0647  -0.382198    13.7381    1.41977    1.97425  -0.414221    0.10402 -0.0551095  -0.284886 0.00063029   -4.15654    8.00497   -41.4947,-0.321902  0.700213 -0.297982  0.288795  0.028916  0.201755 -0.158109         0         0         0         0,8.09017
16,    1.29607   -0.100748   0.0647829 1.46595e-07 1.93517e-08 -0.00664752   -0.315755   -0.606235    0.311783        1.78     -0.6752    -2.21188  -0.0342895,-1.73319e-08  1.38365e-07 -5.51501e-08 -3.47424e-06 -4.58668e-07  2.03181e-14     0.106188   -0.0465844    -0.290756    0.0138384     -4.21306      8.13055       -61.32,   1.29734  -0.102023     7.1247 0.00121084 0.00144667 -0.0066118  -0.315755  -0.606235   0.311783       1.78    -0.6752   -2.21188 -0.0342895, 0.00430277  -0.0042982     64.8011  0.00352864  0.00494065 0.000114725    0.106188  -0.0465844   -0.290756   0.0138384    -4.21306     8.13055      -61.32,   1.29734  -0.102023    0.25397 0.00121084 0.00144667 -0.0066118  -0.315755  -0.606235   0.311783       1.78    -0.6752   -2.21188 -0.0342895, 0.00430277  -0.0042982     5.09192  0.00352864  0.00494065 0.000114725    0.106188  -0.0465844   -0.290756   0.0138384    -4.21306     8.13055      -61.32, -0.310012   0.673479  -0.267836   0.270635 -0.0139649  0.0481002   0.113777          0          0          0          0, -0.310012   0.673479  -0.267836   0.270635 -0.0139649  0.0481002   0.113777          0          0          0          0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.79514 -0.249821   3.85025   1.57997   1.00361   1.05779 -0.317519 -0.609261  0.314709   1.78216 -0.758899   -1.9327 -0.388557,    1.0647  -0.382198    15.8573    1.44445    1.94609  -0.499464   0.091328 -0.0714421  -0.271346  0.0710809   -4.34996    9.79744   -63.1106, -0.310012   0.673479  -0.267836   0.270635 -0.0139649  0.0481002   0.113777          0          0          0          0,8.44328
17,    1.29607   -0.100748   0.0647829 1.46595e-07 1.93517e-08 -0.00664752   -0.310091   -0.607756    0.295301      1.7825   -0.879559     -1.8044    -2.68856,-1.73313e-08   1.3836e-07 -1.23705e-08 -3.47416e-06 -4.58658e-07  2.03181e-14     0.119217   -0.0177873    -0.359052    0.0741591     -4.00289      8.35052     -46.3068,    1.29756   -0.102238     10.9722  0.00138728  0.00169369 -0.00660576   -0.310091   -0.607756    0.295301      1.7825   -0.879559     -1.8044    -2.68856, 0.00430277  -0.0042982     86.8913  0.00352862  0.00494067 0.000114195    0.119217  -0.0177873   -0.359052   0.0741591    -4.00289     8.35052    -46.3068,    1.29756   -0.102238    0.368898  0.00138728  0.00169369 -0.00660576   -0.310091   -0.607756    0.295301      1.7825   -0.879559     -1.8044    -2.68856, 0.00430277  -0.0042982   0.0130769  0.00352862  0.00494067 0.000114195    0.119217  -0.0177873   -0.359052   0.0741591    -4.00289     8.35052    -46.3068,   -0.29819     0.64171    -0.25456    0.253934 0.000140048   0.0583394  -0.0849673           0           0           0           0,   -0.29819     0.64171    -0.25456    0.253934 0.000140048   0.0583394  -0.0849673           0           0           0           0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.84838 -0.268931   4.70453   1.81142   1.01878   1.24457 -0.312643 -0.612151   0.29971    1.7869 -0.973388  -1.43813  -3.13292,    1.0647  -0.382198    18.0905    1.47332      1.912  -0.584926    0.10292 -0.0458319  -0.325223   0.106978   -4.24243    10.1489   -48.0458,   -0.29819     0.64171    -0.25456    0.253934 0.000140048   0.0583394  -0.0849673           0           0           0           0,8.76307
18,    1.29607   -0.100748   0.0647829 1.46595e-07 1.93517e-08 -0.00664752   -0.303886   -0.607637     0.27464     1.78702    -1.07103    -1.39157    -4.93612,-1.73313e-08   1.3836e-07 -2.77477e-09 -3.47416e-06 -4.58658e-07   2.0318e-14     0.143734    0.0433652     -0.57508    0.0267018     -3.40488      7.89544     -11.6943,   1.29777  -0.102453     16.013 0.00156372 0.00194072 -0.0065997  -0.303886  -0.607637    0.27464    1.78702   -1.07103   -1.39157   -4.93612, 0.00430277  -0.0042982     112.207  0.00352861  0.00494069 0.000113666    0.143734   0.0433652    -0.57508   0.0267018    -3.40488     7.89544    -11.6943,   1.29777  -0.102453   0.154389 0.00156372 0.00194072 -0.0065997  -0.303886  -0.607637    0.27464    1.78702   -1.07103   -1.39157   -4.93612, 0.00430277  -0.0042982    -7.81103  0.00352861  0.00494069 0.000113666    0.143734   0.0433652    -0.57508   0.0267018    -3.40488     7.89544    -11.6943,  -0.28563   0.610213  -0.235307   0.237478 -0.0238192  -0.300999   0.257949          0          0          0          0,  -0.28563   0.610213  -0.235307   0.237478 -0.0238192  -0.300999   0.257949          0          0          0          0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.90161 -0.288041    5.6733   2.04738    1.0152   1.43416 -0.307169 -0.613462  0.280589   1.79188   -1.1784   -0.9431   -5.1273,    1.0647  -0.382198    20.4268    1.50614    1.87166   -0.67052   0.126137 -0.0042797   -0.49019  -0.020809   -4.04207    9.10863    1.33954,  -0.28563   0.610213  -0.235307   0.237478 -0.0238192  -0.300999   0.257949          0          0          0          0,9.04827
19,    1.29607   -0.100748   0.0647829 1.46595e-07 1.93517e-08 -0.00664752   -0.294925   -0.601281    0.236508     1.78317    -1.23016    -1.08221    -4.24966,-1.73313e-08   1.3836e-07 -6.22397e-10 -3.47416e-06 -4.58658e-07  2.03179e-14     0.205503     0.191097    -0.896437     -0.15886     -3.08942      4.96254      29.3103,    1.29799   -0.102668     22.4082  0.00174016  0.00218775 -0.00659362   -0.294925   -0.601281    0.236508     1.78317    -1.23016    -1.08221    -4.24966, 0.00430277  -0.0042982     140.749  0.00352859  0.00494071 0.000113136    0.205503    0.191097   -0.896437    -0.15886    -3.08942     4.96254     29.3103,    1.29783   -0.102515   0.0605528  0.00057661 0.000719179 -0.00659818   -0.294925   -0.601281    0.236508     1.78317    -1.23016    -1.08221    -4.24966,-0.000593169  0.000391204      2.12747   -0.0318733   -0.0397364  1.47214e-05     0.205503     0.191097    -0.896437     -0.15886     -3.08942      4.96254      29.3103, -0.274379   0.577988  -0.213426   0.221707 -0.0482754  -0.120833   0.266168          0          0          0          0, -0.274379   0.577988  -0.213426   0.221707 -0.0482754  -0.120833   0.266168          0          0          0          0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  1.95485 -0.307151   6.76141   2.27597  0.993509   1.61446 -0.294709  -0.59668  0.207526   1.75587  -1.25743  -1.12486  -4.73181,   1.0647 -0.382198   22.8551   1.54261   1.82471 -0.756097  0.298214  0.472269  -1.81809 -0.959284 -0.804216  -7.80291   14.1809, -0.274379   0.577988  -0.213426   0.221707 -0.0482754  -0.120833   0.266168          0          0          0          0,9.29776
20,    1.29607   -0.100748   0.0647829 1.46595e-07 1.93517e-08 -0.00664752   -0.281445    -0.57833    0.159512     1.76119    -1.25535    -1.27736     -3.7659,-1.73313e-08   1.3836e-07 -1.39607e-10 -3.47416e-06 -4.58658e-07  2.03178e-14     0.289706     0.523615     -1.69021    -0.535846    -0.124967     -5.08347      19.3647,     1.2982   -0.102883     30.3193  0.00191661  0.00243477 -0.00658753   -0.281445    -0.57833    0.159512     1.76119    -1.25535    -1.27736     -3.7659, 0.00430277  -0.0042982     172.517  0.00352858  0.00494072 0.000112607    0.289706    0.523615    -1.69021   -0.535846   -0.124967    -5.08347     19.3647,     1.2978   -0.102495    0.285939 -0.00101705 -0.00126764 -0.00659807   -0.281445    -0.57833    0.159512     1.76119    -1.25535    -1.27736     -3.7659,-0.000593169  0.000391204       6.4552   -0.0318733   -0.0397364 -2.37444e-05     0.289706     0.523615     -1.69021    -0.535846    -0.124967     -5.08347      19.3647,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0, 0  0 10  0  0  0  0  0  0  0  0  0  0,  2.00808 -0.326261   7.97316   2.48848  0.955943   1.77658 -0.278914 -0.570684  0.111448   1.70368  -1.29235  -1.54076  -3.05515,   1.0647 -0.382198   25.3638   1.58238   1.77079 -0.841437  0.329659  0.558237  -1.99793  -1.10476  -0.59863   -8.4469   49.3462,0 0 0 0 0 0 0 0 0 0 0,9.51057
